species,layer,p2,p3,p4,p5,p6,p8,p9,p11,p12,p14,p15,p17,p19,p20,p21,p22,p23,p25,p27
Rubus idaeus,hl,NA,NA,NA,NA,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rubus sect. Rubus,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,NA,NA
Rubus vulgaris,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,NA
Sambucus sp.,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA
Solidago virgaurea,hl,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorbus torminalis,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Teucrium scorodonia,hl,*2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,NA,NA
Ulmus cf. minor,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*1,NA
Veronica officinalis,hl,*2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vincetoxicum hirundinaria,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Viola mirabilis,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Viola reichenbachiana,hl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viola reichenbachiana,hl,NA,NA,*1,NA,*2,NA,NA,NA,NA,*1,NA,NA,NA,NA,2,NA,NA,NA,1
Leucobryum glaucum,ml,*4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer campestre,jl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
Acer platanoides,jl,NA,NA,NA,*1,*2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer pseudoplatanus,jl,NA,NA,*1,NA,NA,NA,NA,1,NA,NA,NA,*2,NA,NA,NA,NA,NA,NA,2
Carpinus betulus,jl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Corylus avellana,jl,NA,NA,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Fagus sylvatica,jl,NA,NA,*1,*4,*2,NA,NA,NA,NA,NA,NA,*1,NA,NA,7,NA,*1,NA,3
Fraxinus excelsior,jl,NA,NA,*1,NA,*1,NA,NA,NA,NA,NA,NA,*1,NA,NA,1,NA,NA,NA,2
Juglans regia,jl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Ligustrum vulgare,jl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Prunus avium,jl,NA,NA,*1,*1,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus robur,jl,NA,NA,*1,NA,*2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
