"Abies_alba" "Acer_campestre" "Acer_platanoides" "Acer_pseudoplatanus" "Ajuga_reptans" "Alliaria_petiolata" "Allium_ursinum" "Alnus_glutinosa" "Anemone_nemorosa" "Arum_maculatum" "Athyrium_filix.femina" "Brachypodium_sylvaticum" "Campanula_trachelium" "Carex_digitata" "Carex_flacca" "Carex_montana" "Carex_sylvatica" "Carpinus_betulus" "Circaea_lutetiana" "Clematis_vitalba" "Convallaria_majalis" "Cornus_sanguinea" "Corylus_avellana" "Crataegus_laevigata" "Crataegus_monogyna" "Dactylis_glomerata" "Dryopteris_carthusiana" "Dryopteris_dilatata" "Dryopteris_filix.mas" "Fagus_sylvatica" "Festuca_altissima" "Festuca_ovina" "Ficaria_verna" "Fragaria_vesca" "Fraxinus_excelsior" "Galium_aparine" "Galium_odoratum" "Galium_sylvatikum" "Geranium_robertianum" "Geum_urbanum" "Glechoma_hederacea" "Hedera_helix" "Helleborus_foetidus" "Hieracium_murorum" "Impatiens_parviflora" "Impatiens_parviflora.1" "Juglans_regia" "Lamium_galeobdolon" "Lathyrus_niger" "Lathyrus_vernus" "Ligustrum_vulgare" "Lithospermum_purpurocaeruleum" "Luzula_luzuloides" "Melampyrum_pratense" "Melica_uniflora" "Mercurialis_perennis" "Milium_effusum" "Mycelis_muralis" "Oxalis_acetosella" "Pinus_sylvestris" "Poa_nemoralis" "Primula_elatior" "Prunus_avium" "Prunus_padus" "Prunus_spinosa" "Quercus_robur" "Quercus_spec" "Robinia_pseudoacacia" "Rosa_spec" "Rubus_fruticosus" "Rubus_idaeus" "Rubus_spec" "Sambucus_nigra" "Sanicula_europaea" "Silene_dioica" "Sorbus_torminalis" "Stellaria_nemorum" "Teucrium_scorodonia" "Ulmus_glabra" "Ulmus_minor" "Urtica_dioica" "Veronica_montana" "Vicia_sepium" "Vincetoxicum_hirundinaria" "Viola_hirta" "Viola_reichenbachiana"
"G3_2015" 0 1 1 1 1 0 0 0 1 0 1 0 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0 0 80 1 0 0 1 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 10 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"H1_2015" 0 0 0 60 1 0 0 0 20 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 40 1 0 0 0 2 0 4 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1
"E1_2015" 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 50 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E2_2015" 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 2 0 0 4 0 0 0 0 0 0 0 1 40 0 0 0 0 0 0 1 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E3_2015" 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"p2_2017" 0 40 0 10 0 0 0 0 0 0 0 10 0 0 20 0 0 2 0 0 10 0 0 40 0 0 0 0 0 20 0 0 0 0 0 0 10 0 0 0 0 10 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 60 0 0 0 0 0 0 0 0 40 0 2 0 0 0 0 0 0 0 0
"p3_2017" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"p4_2017" 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 10 10 10 0 10 0 10 0 0 0 0 0 10 20 0 0 0 0 10 0 20 0 0 0 10 10 0 0 0 0 10 20 0 0 0 0 0 0 0 0 0 10 0 0 0 0 10 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
"p5_2017" 0 10 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 60 0 0 0 0 10 0 10 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 10 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"p6_2017" 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 10 0 10 0 0 0 0 10 0 0 0 0 10 0 2 0 0 10 0 50 10 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"p8_2017" 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 10 0 10 0 0 0 10 0 0 0 0 0 2 10 0 0 0 0 30 0 20 0 0 0 0 10 0 0 10 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"p9_2017" 0 10 0 40 0 0 0 0 0 0 0 10 0 0 0 0 0 30 0 0 0 0 40 0 0 0 0 0 0 30 0 0 0 0 40 0 10 0 0 0 0 30 10 0 0 0 10 2 0 0 10 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0
"p11_2017" 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 2 60 0 0 0 0 0 0 20 0 0 0 0 10 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"p12_2017" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"p14_2017" 0 10 0 0 0 0 0 0 0 0 0 10 0 0 0 0 10 0 0 0 10 0 0 0 0 0 0 0 0 90 0 0 0 0 30 0 10 0 0 0 0 10 0 0 0 0 10 10 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 10
"p15_2017" 0 40 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 40 10 0 0 2 0 2 0 0 0 0 10 0 0 0 0 40 0 2 0 0 0 0 40 0 0 0 0 0 10 0 0 40 40 0 0 0 10 0 0 0 40 0 0 10 0 0 0 10 0 0 2 0 0 0 0 0 0 0 0 20 20 0 0 0 0 0 0
"p17_2017" 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 30 0 0 0 0 10 0 10 0 0 0 0 50 0 0 0 0 10 40 0 0 10 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"p19_2017" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 40 0 0 10 0 30 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"p20_2017" 0 0 0 40 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 30 0 0 0 0 0 0 0 2 40 0 0 0 0 0 0 40 0 0 0 0 50 0 0 0 0 10 0 0 10 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"p21_2017" 0 40 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 10 30 0 0 0 0 0 0 0 0 70 0 0 0 0 40 0 30 0 0 0 0 70 0 10 0 0 40 0 0 10 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 10 0 0 0 0 0 10 0 0 0 0 0 0 0 10 0 20
"p22_2017" 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0
"p23_2017" 0 10 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 30 0 0 0 0 10 0 0 0 0 0 0 10 10 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 50 0 0 0 0 10 0 0 0 40 0 10 0 0 0 0 0 0 0 0
"p25_2017" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 10 0 0 0 0 0 0 0 0 0 10 80 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 10 0 0 0 0 0 10 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0
"p27_2017" 0 10 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 40 0 0 0 0 0 0 90 0 0 0 0 40 0 60 0 0 10 10 60 0 0 10 0 0 30 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
"id_1_2018" 0 35 1 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 55 0 0 0 0 5 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 20 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id_2_2018" 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 3 0 15 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 70 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"id_3_2018" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 8 0 5 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"id_4_2018" 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 8 0 0 0 0 0
"id_5_2018" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 95 0 0 0 0 4 0 5 0 0 0 0 8 0 0 0 0 0 20 0 0 0 0 0 0 5 0 2 0 0 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id_6_2018" 0 1 0 35 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 10 0 0 0 0 40 0 10 0 0 0 0 2 0 0 5 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id_7_2018" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 85 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id_8_2018" 0 5 0 0 0 0 0 0 0 0 0 1 0 0 20 0 0 0 0 0 4 0 0 7 0 1 0 0 0 20 0 0 0 0 1 0 1 0 0 0 0 2 3 0 0 0 1 0 1 0 2 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 30 0 3 0 0 0 0 0 1 0 0
"id_9_2018" 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 3 5 3 0 1 0 1 0 0 0 0 0 0 30 1 0 0 0 7 0 7 0 0 0 1 10 0 0 0 0 1 10 0 0 0 0 1 0 2 0 2 0 0 0 0 0 10 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"id_10_2018" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 2 0 0 0 1 0.5 0 0 0 18 0 4 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0.5 0 0 0 0.5 1 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
"id_11_2018" 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 2 1 0 0 0 40 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
"id_12_2018" 0 1 0 3 0 0 0 0 0 0.5 0 0 0 0 0 0 0 50 0 0 0 0 1 0 0 0 0 0 0 28 0 0 0 0 0 0 1 0 0 0.5 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 7 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.5
"id_13_2018" 0 1 0 90 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 5 0 2 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 1 0 0 5 0 0 0 0 0 0 0 1 0 0 0 0 0
"id_14_2018" 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 7 0 0 5 0 0 0 0 0 0 0 0 65 0 0 0 0 10 0 1 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 3 0 0 0 0 0 0 0
"id_15_2018" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 0 0 0 0 0 0 0 0 75 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id_16_2018" 0 2 0 0 2 0 0 0 2 0 0 2 2 0 3 0 0 0 0 3 3 0 0 0 0 0 0 0 0 20 0 0 0 0 2 0 4 0 0 2 0 4 0 0 0 0 2 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 1
"id_17_2018" 0 9 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id_18_2018" 0 15 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id_19_2018" 0 4 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0.5 0 0 1 0 0 0 0 0 85 0 0 0 0 2 0 3 0 0 0 0 44 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
"id_20_2018" 0 5 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0 0 0 0 0 2 0 0 0 0 2 0 2.5 0 0 0 0 70 0 0 0 0 1 1 0 0 2 0 2 0 0 0 0 0 0 0 0 0 2 0 0 12 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"id_21_2018" 0 0 0 40 0 0 0 0 1 0.1 0 0 0 0 0 0 0 20 0 0 0 0 1 0 0 0 1 0 0 5 0 0 0 0 2 0 3 0 0 0 0 2 0 0 0 0 1 4 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"id_22_2018" 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 5 0 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id_23_2018" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id_24_2018" 0 1 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 15 0 2 0 0 1 0 0 0 90 0 0 0 0 3 0 10 0 0 0 0 7 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"id_25_2018" 0 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 0 0 0 0 0 0 0 60 0 0 0 0 2 0 0 0 0 0 0 15 0 0 0 0 1 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
