 longitude latitude slope aspect cover_tree cover_shrub year cover_field location coord_system geodetic_dat accuracy_m altitude_m country Parent_plot shape size date formation pH foliage bare_soil litter standing_dead Living_stems Cover_field_layer_vascular cover_juvenile cover_seedling cover_field_layer_non_vascular Permanent_plot_id
D2_2015 NA NA 24 210 7 7 2015 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
D3_2015 8.5756168195 49.103579124 22.5 220 8 7 2015 3 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
A1_2015 8.5789994861 49.1084337791 16 337.5 95 15 2015 50 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
A2_2015 8.5740504548 49.1042669073 23 218 70 40 2015 20 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
A3_2015 8.576999342 49.1029167328 17 215 85 20 2015 25 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
B1_2015 8.5790182333 49.1079993658 18 22.5 85 30 2015 30 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
B2_2015 8.5726634435 49.1044857689 20 112.5 80 50 2015 20 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
B3_2015 8.5730966812 49.1050900695 25 112.5 70 30 2015 5 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
F1_2015 8.5786356657 49.1078720333 15 22.5 65 25 2015 33 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
F2_2015 8.5730192638 49.104532063 35 112.5 50 85 2015 47 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
F3_2015 NA NA 27 315 55 50 2015 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
G1_2015 8.5792691905 49.1074875382 7.5 NA 70 15 2015 40 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
G2_2015 8.5738034907 49.1041481549 25 NA 50 60 2015 27 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
G3_2015 8.5747604258 49.104394562 16 NA 70 70 2015 40 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
H1_2015 8.5791600383 49.1074331674 18.5 NA 60 50 2015 40 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
H2_2015 NA NA 33 225 6 6 2015 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
H3_2015 NA NA NA 225 40 40 2015 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
E1_2015 8.5781117415 49.1082569255 7 0 80 10 2015 60 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
E2_2015 8.5746903872 49.1045742138 16.5 225 40 45 2015 10 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
E3_2015 8.5731928155 49.1050634385 26.5 315 60 60 2015 7 E NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
p2_2017 8.34 49.6 29 225 75 25 2017 NA E Latlon WGS84 NA 188 DE logger_19 Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 4.5 85 40 60 0 3 10 15 10 1 19
p3_2017 8.3454 49.6179 20 225 80 30 2017 NA E Latlon WGS84 NA 190 DE logger_19_2 Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 4 90 5 80 1 15 1 15 10 8 19.2
p4_2017 8 49 16 330 80 5 2017 NA E Latlon WGS84 NA NA DE logger_20 Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 4.5 85 2 98 2 3 50 1 1 3 20
p5_2017 8.58 49.1 3 330 75 12 2017 NA E Latlon WGS84 NA 231 DE logger_7 Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 5 95 5 95 0 3 60 1 1 4 7
p6_2017 8.5 49.1 12 320 80 4 2017 NA E Latlon WGS84 NA 186 DE logger_2_2 Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 6.5 95 0 100 0 2 70 3 1 4 2.2
p8_2017 8.0435 49.6426 22 300 60 2 2017 NA E Latlon WGS84 NA 165 DE logger_6 Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 5 75 2 80 1 2 40 1 1 10 6
p9_2017 8.34394 49.6222 25 230 70 5 2017 NA E Latlon WGS84 NA NA DE logger_4_2 Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 7.5 80 1 96 1 2 40 1 1 10 4.2
p11_2017 8.57 49.1 11 225 90 3 2017 NA E Latlon WGS84 5 254 DE logger_1 Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 4.5 95 1 99 1 5 7 1 1 1 1
p12_2017 8.34 49.6 21 199 65 10 2017 NA E Latlon WGS84 5 250 DE "logger_10 " Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 4.5 80 15 70 1 6 5 5 1 15 10
p14_2017 8.57445 49.1056 13 315 70 25 2017 NA E Latlon WGS84 10 194 DE logger_11 Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 7 80 4 96 1 3 40 0 1 1 11
p15_2017 8.57261 49.1041 40 190 70 25 2017 NA E Latlon WGS84 6 139 DE logger_4 Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 6 70 5 40 1 3 60 1 2 6 4
p17_2017 8.34648 49.6524 19 30 85 2 2017 NA E Latlon WGS84 NA 144 DE logger_2 Quadrat 100 8.8.2017 "Deciduous broadleaf forest" 7 95 1 70 1 1 70 3 2 2 2
p19_2017 8.54836 49.0763 19 310 10 7 2017 NA E Latlon WGS84 13 181 DE logger_18 Quadrat 100 9.8.2017 "Deciduous broadleaf forest" 7 100 2 65 1 10 35 15 3 1 18
p20_2017 8.55143 49.0782 21 0 50 60 2017 NA E Latlon WGS84 9 176 DE logger_18_2 Quadrat 100 9.8.2017 "Deciduous broadleaf forest" 7 90 1 10 5 10 75 10 10 2 18.2
p21_2017 8.55 49.1 18 300 80 25 2017 NA E Latlon WGS84 NA 218 DE logger_15 Quadrat 100 9.8.2017 "Deciduous broadleaf forest" 6.5 90 1 99 1 5 30 15 5 0.1 15
p22_2017 8.32888 49.436 2 0 85 25 2017 NA E Latlon WGS84 NA NA DE logger_21 Quadrat 100 9.8.2017 "Deciduous broadleaf forest" 6 90 1 80 1 2 40 0 0 1 21
p23_2017 8.32972 49.4418 34 170 65 30 2017 NA E Latlon WGS84 NA NA DE logger_22 Quadrat 100 9.8.2017 "Deciduous broadleaf forest" 5 70 40 30 0 1 25 2 1 1 22
p25_2017 8.55254 49.0774 24 230 75 1 2017 NA E Latlon WGS84 5 207 DE logger_13 Quadrat 100 9.8.2017 "Deciduous broadleaf forest" 5 85 1 99 0 2 20 2 2 1 13
p27_2017 8.55187 49.0786 17 30 93 20 2017 NA E Latlon WGS84 11 153 DE logger_14 Quadrat 100 9.8.2017 "Deciduous broadleaf forest" 5 95 4 95 1 1 40 15 5 2 14
id_1_2018 8.5767747 49.1054052 9 315 95 18 2018 60 NA NA EPSG:4326 NA 233 DE 7 Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   40 90 N/A  60 NA NA N/A 
id_2_2018 8.5725945 49.104066 37 220 90 40 2018 70 NA NA EPSG:4326 NA 146 DE 4 Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   20 40 N/A  70 NA NA N/A 
id_3_2018 8.55164 49.07483 0 0 95 3 2018 30 NA NA EPSG:4326 NA 236 DE 12 Quadrat 100 25.07.2018 "Broad-leaf deciduous forests"   70 90 N/A  30 NA NA N/A 
id_4_2018 8.5772 49.07258 0 0 95 30 2018 45 NA NA EPSG:4326 NA 170 DE 21 Quadrat 100 25.07.2018 "Broad-leaf deciduous forests"   50 80 N/A  45 NA NA N/A 
id_5_2018 8.5762765 49.1065299 10 280 95 25 2018 45 NA NA WGS84 NA 263 DE 1 Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   0 90 2  45 NA NA N/A 
id_6_2018 8.5749619 49.1071403 30 315 75 2 2018 35 NA NA WGS84 NA 205 DE 6 Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   3 70 5  35 NA NA N/A 
id_7_2018 8.5523928 49.0773383 25 50 85 5 2018 5 NA NA WGS84 NA 258 DE 13 Quadrat 100 25.07.2018 "Broad-leaf deciduous forests"   5 90 0  5 NA NA N/A 
id_8_2018 8.5493465 49.0735968 35 180 70 20 2018 50 NA NA WGS84 NA 255 DE 22 Quadrat 100 25.07.2018 "Broad-leaf deciduous forests"   30 25 0  50 NA NA N/A 
id_9_2018 8.5787485 49.10829 8 15 80 1 2018 40 NA NA WGS84 NA 183 DE 20 Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   1 60 2  40 NA NA 1 
id_10_2018 8.5741878 49.1042317 26 210 70 20 2018 20 NA NA WGS84 NA 191 DE 10 Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   7 60 1  20 NA NA 20 
id_11_2018 8.5738616 49.1044073 21 210 80 20 2018 10 NA NA WGS84 NA 191 DE Zusatzplot Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   30 50 2  10 NA NA 5 
id_12_2018 8.5518136 49.0784163 18 20 85 5 2018 15 NA NA WGS84 NA 180 DE 14 Quadrat 100 25.07.2018 "Broad-leaf deciduous forests"   5 95 0  15 NA NA 0 
id_13_2018 8.5536022 49.0774779 24 45 100 7 2018 15 NA NA WGS84 NA 200 DE Zusatzplot Quadrat 100 25.07.2018 "Broad-leaf deciduous forests"   0 95 0  15 NA NA 1 
id_14_2018 8.5745283 49.1055474 9 350 75 15 2018 10 NA NA WGS84 NA N/A DE 11 Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   2 80 1  10 NA NA N/A 
id_15_2018 8.5758371 49.1032186 20 210 70 20 2018 3 NA NA WGS84 NA N/A DE Zusatzplot Quadrat 100 23.07.2018 "Broad-leaf deciduous forests"   20 60 1  3 NA NA N/A 
id_16_2018 8.5484602 49.0754839 23 280 2 20 2018 35 NA NA WGS84 NA N/A DE 15 Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   5 60 5  35 NA NA N/A 
id_17_2018 8.5752799 49.1034798 22.5 230 85 35 2018 20 NA NA WGS84 NA 156 DE 19 Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   30 55 1  20 NA NA 13 
id_18_2018 8.5764759 49.1031154 13 240 75 30 2018 5 NA NA WGS84 NA 160 DE Zusatzplot Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   1 95 1  5 NA NA 5 
id_19_2018 8.546729 49.0734934 28 230 80 18 2018 42 NA NA WGS84 NA 160 DE 16 Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   5 75 1  42 NA NA 1,75 
id_20_2018 8.5775941 49.1086974 11 350 70 2 2018 80 NA NA WGS84 NA 176 DE 2 Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   12 90 10  80 NA NA 2.5 
id_21_2018 8.5791469 49.1084535 25 30 90 5 2018 30 NA NA WGS84 NA 161 DE Zusatzplot Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   5 95 3  30 NA NA 2 
id_22_2018 8.5798469 49.108361 12 30 95 1 2018 1 NA NA WGS84 NA 165 DE Zusatzplot Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   1 90 2  1 NA NA 1 
id_23_2018 8.5776065 49.109114 2 15 75 N/A 2018 N/A NA NA WGS84 NA 143 DE Zusatzplot Quadrat 100 24.07.2018 "Broad-leaf deciduous forests"   2 2 2  N/A NA NA N/A 
id_24_2018 8.5483506 49.0763319 25 320 80 5 2018 60 NA NA WGS84 NA 181 DE 18 Quadrat 100 25.07.2018 "Broad-leaf deciduous forests"   2 82 1  60 NA NA 1 
id_25_2018 8.5492818 49.0770244 25 310 95 40 2018 83 NA NA WGS84 NA 192 DE Zusatzplot Quadrat 100 25.07.2018 "Broad-leaf deciduous forests"   5 40 5  83 NA NA 3 
id_1_2018 8.5767747 49.1054052                            
